Case_Reported_Date,Reporting_PHU_ID,Reporting_PHU,Number_of_Cases
2021-04-21,2246,Niagara Region Public Health Department,201
2021-04-21,2247,North Bay Parry Sound District Health Unit,3
2021-04-21,2249,Northwestern Health Unit,10
2021-04-21,2251,Ottawa Public Health,207
2021-04-21,2253,Peel Public Health,1118
2021-04-21,2255,Peterborough Public Health,6
2021-04-21,2256,Porcupine Health Unit,13
2021-04-21,2257,Renfrew County and District Health Unit,3
2021-04-21,2258,Eastern Ontario Health Unit,33
2021-04-21,2260,Simcoe Muskoka District Health Unit,77
2021-04-21,2261,Sudbury & District Health Unit,13
2021-04-21,2262,Thunder Bay District Health Unit,10
2021-04-21,2263,Timiskaming Health Unit,4
2021-04-21,2265,"Region of Waterloo, Public Health",79
2021-04-21,2266,Wellington-Dufferin-Guelph Public Health,65
2021-04-21,2268,Windsor-Essex County Health Unit,50
2021-04-21,2270,York Region Public Health Services,374
2021-04-21,3895,Toronto Public Health,994
2021-04-21,4913,Southwestern Public Health,18
2021-04-21,5183,Huron Perth District Health Unit,3
2021-04-22,2226,Algoma Public Health Unit,3
2021-04-22,2227,Brant County Health Unit,40
2021-04-22,2230,Durham Region Health Department,253
2021-04-22,2233,Grey Bruce Health Unit,14
2021-04-22,2234,Haldimand-Norfolk Health Unit,31
2021-04-22,2235,"Haliburton, Kawartha, Pine Ridge District Health Unit",17
2021-04-22,2236,Halton Region Health Department,132
2021-04-22,2237,Hamilton Public Health Services,174
2021-04-22,2238,Hastings and Prince Edward Counties Health Unit,9
2021-04-22,2240,Chatham-Kent Health Unit,5
2021-04-22,2241,"Kingston, Frontenac and Lennox & Addington Public Health",9
2021-04-22,2242,Lambton Public Health,18
2021-04-22,2243,"Leeds, Grenville and Lanark District Health Unit",12
2021-04-22,2244,Middlesex-London Health Unit,127
2021-04-22,2246,Niagara Region Public Health Department,222
2021-04-22,2247,North Bay Parry Sound District Health Unit,1
2021-04-22,2249,Northwestern Health Unit,14
2021-04-22,2251,Ottawa Public Health,239
2021-04-22,2253,Peel Public Health,1120
2021-04-22,2255,Peterborough Public Health,13
2021-04-22,2256,Porcupine Health Unit,14
2021-04-22,2257,Renfrew County and District Health Unit,3
2021-04-22,2258,Eastern Ontario Health Unit,21
2021-04-22,2260,Simcoe Muskoka District Health Unit,94
2021-04-22,2261,Sudbury & District Health Unit,5
2021-04-22,2262,Thunder Bay District Health Unit,19
2021-04-22,2263,Timiskaming Health Unit,1
2021-04-22,2265,"Region of Waterloo, Public Health",95
2021-04-22,2266,Wellington-Dufferin-Guelph Public Health,87
2021-04-22,2268,Windsor-Essex County Health Unit,69
2021-04-22,2270,York Region Public Health Services,430
2021-04-22,3895,Toronto Public Health,1190
2021-04-22,4913,Southwestern Public Health,16
2021-04-22,5183,Huron Perth District Health Unit,10
2021-04-23,2227,Brant County Health Unit,24
2021-04-23,2230,Durham Region Health Department,205
2021-04-23,2233,Grey Bruce Health Unit,8
2021-04-23,2234,Haldimand-Norfolk Health Unit,31
2021-04-23,2235,"Haliburton, Kawartha, Pine Ridge District Health Unit",8
2021-04-23,2236,Halton Region Health Department,142
2021-04-23,2237,Hamilton Public Health Services,119
2021-04-23,2238,Hastings and Prince Edward Counties Health Unit,7
2021-04-23,2240,Chatham-Kent Health Unit,4
2021-04-23,2241,"Kingston, Frontenac and Lennox & Addington Public Health",7
2021-04-23,2242,Lambton Public Health,10
2021-04-23,2243,"Leeds, Grenville and Lanark District Health Unit",14
2021-04-23,2244,Middlesex-London Health Unit,72
2021-04-23,2246,Niagara Region Public Health Department,171
2021-04-23,2247,North Bay Parry Sound District Health Unit,1
2021-04-23,2249,Northwestern Health Unit,9
2021-04-23,2251,Ottawa Public Health,189
2021-04-23,2253,Peel Public Health,848
2021-04-23,2255,Peterborough Public Health,8
2021-04-23,2256,Porcupine Health Unit,10
2021-04-23,2257,Renfrew County and District Health Unit,3
2021-04-23,2258,Eastern Ontario Health Unit,40
2021-04-23,2260,Simcoe Muskoka District Health Unit,111
2021-04-23,2261,Sudbury & District Health Unit,3
2021-04-23,2262,Thunder Bay District Health Unit,9
2021-04-23,2263,Timiskaming Health Unit,6
2021-04-23,2265,"Region of Waterloo, Public Health",129
2021-04-23,2266,Wellington-Dufferin-Guelph Public Health,44
2021-04-23,2268,Windsor-Essex County Health Unit,38
2021-04-23,2270,York Region Public Health Services,408
2021-04-23,3895,Toronto Public Health,1357
2021-04-23,4913,Southwestern Public Health,25
2021-04-23,5183,Huron Perth District Health Unit,2
2021-04-24,2226,Algoma Public Health Unit,3
2021-04-24,2227,Brant County Health Unit,43
2021-04-24,2230,Durham Region Health Department,228
2021-04-24,2233,Grey Bruce Health Unit,5
2021-04-24,2234,Haldimand-Norfolk Health Unit,30
2021-04-24,2235,"Haliburton, Kawartha, Pine Ridge District Health Unit",13
2021-04-24,2236,Halton Region Health Department,136
2021-04-24,2237,Hamilton Public Health Services,156
2021-04-24,2238,Hastings and Prince Edward Counties Health Unit,16
2021-04-24,2240,Chatham-Kent Health Unit,4
2021-04-24,2241,"Kingston, Frontenac and Lennox & Addington Public Health",21
2021-04-24,2242,Lambton Public Health,3
2021-04-24,2243,"Leeds, Grenville and Lanark District Health Unit",10
2021-04-24,2244,Middlesex-London Health Unit,85
2021-04-24,2246,Niagara Region Public Health Department,98
2021-04-24,2247,North Bay Parry Sound District Health Unit,2
2021-04-24,2249,Northwestern Health Unit,8
2021-04-24,2251,Ottawa Public Health,227
2021-04-24,2253,Peel Public Health,798
2021-04-24,2255,Peterborough Public Health,13
2021-04-24,2256,Porcupine Health Unit,3
2021-04-24,2257,Renfrew County and District Health Unit,11
2021-04-24,2258,Eastern Ontario Health Unit,19
2021-04-24,2260,Simcoe Muskoka District Health Unit,93
2021-04-24,2261,Sudbury & District Health Unit,9
2021-04-24,2262,Thunder Bay District Health Unit,4
2021-04-24,2263,Timiskaming Health Unit,3
2021-04-24,2265,"Region of Waterloo, Public Health",103
2021-04-24,2266,Wellington-Dufferin-Guelph Public Health,66
2021-04-24,2268,Windsor-Essex County Health Unit,64
2021-04-24,2270,York Region Public Health Services,417
2021-04-24,3895,Toronto Public Health,1106
2021-04-24,4913,Southwestern Public Health,19
2021-04-24,5183,Huron Perth District Health Unit,5
2021-04-25,2226,Algoma Public Health Unit,3
2021-04-25,2227,Brant County Health Unit,22
2021-04-25,2230,Durham Region Health Department,183
2021-04-25,2233,Grey Bruce Health Unit,6
2021-04-25,2234,Haldimand-Norfolk Health Unit,7
2021-04-25,2235,"Haliburton, Kawartha, Pine Ridge District Health Unit",10
2021-04-25,2236,Halton Region Health Department,148
2021-04-25,2237,Hamilton Public Health Services,123
2021-04-25,2238,Hastings and Prince Edward Counties Health Unit,8
2021-04-25,2240,Chatham-Kent Health Unit,5
2021-04-25,2241,"Kingston, Frontenac and Lennox & Addington Public Health",5
2021-04-25,2242,Lambton Public Health,3
2021-04-25,2243,"Leeds, Grenville and Lanark District Health Unit",1
2021-04-25,2244,Middlesex-London Health Unit,96
2021-04-25,2246,Niagara Region Public Health Department,167
2021-04-25,2247,North Bay Parry Sound District Health Unit,2
2021-04-25,2251,Ottawa Public Health,139
2021-04-25,2253,Peel Public Health,837
2021-04-25,2255,Peterborough Public Health,4
2021-04-25,2256,Porcupine Health Unit,7
2021-04-25,2257,Renfrew County and District Health Unit,13
2021-04-25,2258,Eastern Ontario Health Unit,8
2021-04-25,2260,Simcoe Muskoka District Health Unit,70
2021-04-25,2261,Sudbury & District Health Unit,4
2021-04-25,2262,Thunder Bay District Health Unit,4
2021-04-25,2263,Timiskaming Health Unit,3
2021-04-25,2265,"Region of Waterloo, Public Health",46
2021-04-25,2266,Wellington-Dufferin-Guelph Public Health,25
2021-04-25,2268,Windsor-Essex County Health Unit,53
2021-04-25,2270,York Region Public Health Services,384
2021-04-25,3895,Toronto Public Health,1240
2021-04-25,4913,Southwestern Public Health,20
2021-04-25,5183,Huron Perth District Health Unit,3
2021-04-26,2226,Algoma Public Health Unit,1
2021-04-26,2227,Brant County Health Unit,17
2021-04-26,2230,Durham Region Health Department,178
2021-04-26,2233,Grey Bruce Health Unit,3
2021-04-26,2234,Haldimand-Norfolk Health Unit,24
2021-04-26,2235,"Haliburton, Kawartha, Pine Ridge District Health Unit",12
2021-04-26,2236,Halton Region Health Department,117
2021-04-26,2237,Hamilton Public Health Services,134
2021-04-26,2238,Hastings and Prince Edward Counties Health Unit,9
2021-04-26,2240,Chatham-Kent Health Unit,5
2021-04-26,2241,"Kingston, Frontenac and Lennox & Addington Public Health",13
2021-04-26,2242,Lambton Public Health,8
2021-04-26,2243,"Leeds, Grenville and Lanark District Health Unit",9
2021-04-26,2244,Middlesex-London Health Unit,72
2021-04-26,2246,Niagara Region Public Health Department,113
2021-04-26,2247,North Bay Parry Sound District Health Unit,5
2021-04-26,2249,Northwestern Health Unit,9
2021-04-26,2251,Ottawa Public Health,173
2021-04-26,2253,Peel Public Health,739
2021-04-26,2255,Peterborough Public Health,7
2021-04-26,2256,Porcupine Health Unit,16
2021-04-26,2257,Renfrew County and District Health Unit,3
2021-04-26,2258,Eastern Ontario Health Unit,9
2021-04-26,2260,Simcoe Muskoka District Health Unit,58
2021-04-26,2261,Sudbury & District Health Unit,9
2021-04-26,2262,Thunder Bay District Health Unit,4
2021-04-26,2263,Timiskaming Health Unit,2
2021-04-26,2265,"Region of Waterloo, Public Health",52
2021-04-26,2266,Wellington-Dufferin-Guelph Public Health,50
2021-04-26,2268,Windsor-Essex County Health Unit,44
2021-04-26,2270,York Region Public Health Services,411
2021-04-26,3895,Toronto Public Health,815
2021-04-26,4913,Southwestern Public Health,16
2021-04-27,2226,Algoma Public Health Unit,4
2021-04-27,2227,Brant County Health Unit,27
2021-04-27,2230,Durham Region Health Department,236
2021-04-27,2233,Grey Bruce Health Unit,15
2021-04-27,2234,Haldimand-Norfolk Health Unit,17
2021-04-27,2235,"Haliburton, Kawartha, Pine Ridge District Health Unit",13
2021-04-27,2236,Halton Region Health Department,117
2021-04-27,2237,Hamilton Public Health Services,149
2021-04-27,2238,Hastings and Prince Edward Counties Health Unit,10
2021-04-27,2240,Chatham-Kent Health Unit,5
2021-04-27,2241,"Kingston, Frontenac and Lennox & Addington Public Health",11
2021-04-27,2242,Lambton Public Health,18
2021-04-27,2243,"Leeds, Grenville and Lanark District Health Unit",12
2021-04-27,2244,Middlesex-London Health Unit,159
2021-04-27,2246,Niagara Region Public Health Department,112
2021-04-27,2247,North Bay Parry Sound District Health Unit,1
2021-04-27,2249,Northwestern Health Unit,21
2021-04-27,2251,Ottawa Public Health,189
2021-04-27,2253,Peel Public Health,606
2021-04-27,2255,Peterborough Public Health,16
2021-04-27,2256,Porcupine Health Unit,9
2021-04-27,2257,Renfrew County and District Health Unit,10
2021-04-27,2258,Eastern Ontario Health Unit,31
2021-04-27,2260,Simcoe Muskoka District Health Unit,94
2021-04-27,2261,Sudbury & District Health Unit,10
2021-04-27,2262,Thunder Bay District Health Unit,3
2021-04-27,2263,Timiskaming Health Unit,5
2021-04-27,2265,"Region of Waterloo, Public Health",69
2021-04-27,2266,Wellington-Dufferin-Guelph Public Health,35
2021-04-27,2268,Windsor-Essex County Health Unit,51
2021-04-27,2270,York Region Public Health Services,321
2021-04-27,3895,Toronto Public Health,1106
2021-04-27,4913,Southwestern Public Health,18
2021-04-27,5183,Huron Perth District Health Unit,10
2021-04-28,2226,Algoma Public Health Unit,6
2021-04-28,2227,Brant County Health Unit,28
2021-04-28,2230,Durham Region Health Department,258
2021-04-28,2233,Grey Bruce Health Unit,10
2021-04-28,2234,Haldimand-Norfolk Health Unit,26
2021-04-28,2235,"Haliburton, Kawartha, Pine Ridge District Health Unit",17
2021-04-28,2236,Halton Region Health Department,141
2021-04-28,2237,Hamilton Public Health Services,161
2021-04-28,2238,Hastings and Prince Edward Counties Health Unit,18
2021-04-28,2240,Chatham-Kent Health Unit,3
2021-04-28,2241,"Kingston, Frontenac and Lennox & Addington Public Health",12
2021-04-28,2242,Lambton Public Health,11
2021-04-28,2243,"Leeds, Grenville and Lanark District Health Unit",14
2021-04-28,2244,Middlesex-London Health Unit,96
2021-04-28,2246,Niagara Region Public Health Department,143
2021-04-28,2247,North Bay Parry Sound District Health Unit,3
2021-04-28,2249,Northwestern Health Unit,8
2021-04-28,2251,Ottawa Public Health,186
2021-04-28,2253,Peel Public Health,1066
2021-04-28,2255,Peterborough Public Health,9
2021-04-28,2256,Porcupine Health Unit,18
2021-04-28,2257,Renfrew County and District Health Unit,3
2021-04-28,2258,Eastern Ontario Health Unit,19
2021-04-28,2260,Simcoe Muskoka District Health Unit,75
2021-04-28,2261,Sudbury & District Health Unit,12
2021-04-28,2262,Thunder Bay District Health Unit,13
2021-04-28,2263,Timiskaming Health Unit,4
2021-04-28,2265,"Region of Waterloo, Public Health",67
2021-04-28,2266,Wellington-Dufferin-Guelph Public Health,51
2021-04-28,2268,Windsor-Essex County Health Unit,56
2021-04-28,2270,York Region Public Health Services,351
2021-04-28,3895,Toronto Public Health,1110
2021-04-28,4913,Southwestern Public Health,13
2021-04-28,5183,Huron Perth District Health Unit,6
2021-04-29,2226,Algoma Public Health Unit,1
2021-04-29,2227,Brant County Health Unit,28
2021-04-29,2230,Durham Region Health Department,156
2021-04-29,2233,Grey Bruce Health Unit,6
2021-04-29,2234,Haldimand-Norfolk Health Unit,28
2021-04-29,2235,"Haliburton, Kawartha, Pine Ridge District Health Unit",8
2021-04-29,2236,Halton Region Health Department,134
2021-04-29,2237,Hamilton Public Health Services,191
2021-04-29,2238,Hastings and Prince Edward Counties Health Unit,11
2021-04-29,2240,Chatham-Kent Health Unit,3
2021-04-29,2241,"Kingston, Frontenac and Lennox & Addington Public Health",8
2021-04-29,2242,Lambton Public Health,13
2021-04-29,2243,"Leeds, Grenville and Lanark District Health Unit",7
2021-04-29,2244,Middlesex-London Health Unit,76
2021-04-29,2246,Niagara Region Public Health Department,140
2021-04-29,2249,Northwestern Health Unit,11
2021-04-29,2251,Ottawa Public Health,159
2021-04-29,2253,Peel Public Health,969
2021-04-29,2255,Peterborough Public Health,13
2021-04-29,2256,Porcupine Health Unit,11
2021-04-29,2257,Renfrew County and District Health Unit,4
2021-04-29,2258,Eastern Ontario Health Unit,23
2021-04-29,2260,Simcoe Muskoka District Health Unit,78
2021-04-29,2261,Sudbury & District Health Unit,16
2021-04-29,2262,Thunder Bay District Health Unit,2
2021-04-29,2263,Timiskaming Health Unit,2
2021-04-29,2265,"Region of Waterloo, Public Health",65
2021-04-29,2266,Wellington-Dufferin-Guelph Public Health,52
2021-04-29,2268,Windsor-Essex County Health Unit,47
2021-04-29,2270,York Region Public Health Services,216
2021-04-29,3895,Toronto Public Health,1314
2021-04-29,4913,Southwestern Public Health,19
2021-04-29,5183,Huron Perth District Health Unit,6
2021-04-30,2226,Algoma Public Health Unit,3
2021-04-30,2227,Brant County Health Unit,35
2021-04-30,2230,Durham Region Health Department,216
2021-04-30,2233,Grey Bruce Health Unit,6
2021-04-30,2234,Haldimand-Norfolk Health Unit,17
2021-04-30,2235,"Haliburton, Kawartha, Pine Ridge District Health Unit",5
2021-04-30,2236,Halton Region Health Department,118
2021-04-30,2237,Hamilton Public Health Services,200
2021-04-30,2238,Hastings and Prince Edward Counties Health Unit,7
2021-04-30,2240,Chatham-Kent Health Unit,5
2021-04-30,2241,"Kingston, Frontenac and Lennox & Addington Public Health",10
2021-04-30,2242,Lambton Public Health,12
2021-04-30,2243,"Leeds, Grenville and Lanark District Health Unit",5
2021-04-30,2244,Middlesex-London Health Unit,106
2021-04-30,2246,Niagara Region Public Health Department,22
2021-04-30,2247,North Bay Parry Sound District Health Unit,3
2021-04-30,2249,Northwestern Health Unit,11
2021-04-30,2251,Ottawa Public Health,178
2021-04-30,2253,Peel Public Health,703
2021-04-30,2255,Peterborough Public Health,6
2021-04-30,2256,Porcupine Health Unit,5
2021-04-30,2257,Renfrew County and District Health Unit,1
2021-04-30,2258,Eastern Ontario Health Unit,21
2021-04-30,2260,Simcoe Muskoka District Health Unit,97
2021-04-30,2261,Sudbury & District Health Unit,4
2021-04-30,2262,Thunder Bay District Health Unit,4
2021-04-30,2263,Timiskaming Health Unit,3
2021-04-30,2265,"Region of Waterloo, Public Health",61
2021-04-30,2266,Wellington-Dufferin-Guelph Public Health,48
2021-04-30,2268,Windsor-Essex County Health Unit,39
2021-04-30,2270,York Region Public Health Services,327
2021-04-30,3895,Toronto Public Health,1086
2021-04-30,4913,Southwestern Public Health,15
2021-04-30,5183,Huron Perth District Health Unit,1
2021-05-01,2226,Algoma Public Health Unit,2
2021-05-01,2227,Brant County Health Unit,16
2021-05-01,2230,Durham Region Health Department,282
2021-05-01,2233,Grey Bruce Health Unit,2
2021-05-01,2234,Haldimand-Norfolk Health Unit,18
2021-05-01,2235,"Haliburton, Kawartha, Pine Ridge District Health Unit",5
2021-05-01,2236,Halton Region Health Department,138
2021-05-01,2237,Hamilton Public Health Services,112
2021-05-01,2238,Hastings and Prince Edward Counties Health Unit,5
2021-05-01,2240,Chatham-Kent Health Unit,3
2021-05-01,2241,"Kingston, Frontenac and Lennox & Addington Public Health",8
2021-05-01,2242,Lambton Public Health,6
2021-05-01,2243,"Leeds, Grenville and Lanark District Health Unit",4
2021-05-01,2244,Middlesex-London Health Unit,77
2021-05-01,2246,Niagara Region Public Health Department,170
2021-05-01,2247,North Bay Parry Sound District Health Unit,2
2021-05-01,2249,Northwestern Health Unit,9
2021-05-01,2251,Ottawa Public Health,138
2021-05-01,2253,Peel Public Health,934
2021-05-01,2255,Peterborough Public Health,6
2021-05-01,2256,Porcupine Health Unit,12
2021-05-01,2257,Renfrew County and District Health Unit,9
2021-05-01,2258,Eastern Ontario Health Unit,16
2021-05-01,2260,Simcoe Muskoka District Health Unit,102
2021-05-01,2261,Sudbury & District Health Unit,9
2021-05-01,2262,Thunder Bay District Health Unit,4
2021-05-01,2263,Timiskaming Health Unit,1
2021-05-01,2265,"Region of Waterloo, Public Health",89
2021-05-01,2266,Wellington-Dufferin-Guelph Public Health,40
2021-05-01,2268,Windsor-Essex County Health Unit,39
2021-05-01,2270,York Region Public Health Services,320
2021-05-01,3895,Toronto Public Health,1102
2021-05-01,4913,Southwestern Public Health,12
2021-05-01,5183,Huron Perth District Health Unit,4
2021-05-02,2226,Algoma Public Health Unit,1
2021-05-02,2227,Brant County Health Unit,23
2021-05-02,2230,Durham Region Health Department,156
2021-05-02,2233,Grey Bruce Health Unit,6
2021-05-02,2234,Haldimand-Norfolk Health Unit,12
2021-05-02,2235,"Haliburton, Kawartha, Pine Ridge District Health Unit",2
2021-05-02,2236,Halton Region Health Department,129
2021-05-02,2237,Hamilton Public Health Services,124
2021-05-02,2238,Hastings and Prince Edward Counties Health Unit,4
2021-05-02,2240,Chatham-Kent Health Unit,2
2021-05-02,2241,"Kingston, Frontenac and Lennox & Addington Public Health",16
2021-05-02,2242,Lambton Public Health,3
2021-05-02,2243,"Leeds, Grenville and Lanark District Health Unit",8
2021-05-02,2244,Middlesex-London Health Unit,50
2021-05-02,2246,Niagara Region Public Health Department,89
2021-05-02,2247,North Bay Parry Sound District Health Unit,1
2021-05-02,2249,Northwestern Health Unit,7
2021-05-02,2251,Ottawa Public Health,128
2021-05-02,2253,Peel Public Health,561
2021-05-02,2255,Peterborough Public Health,9
2021-05-02,2256,Porcupine Health Unit,2
2021-05-02,2257,Renfrew County and District Health Unit,1
2021-05-02,2258,Eastern Ontario Health Unit,11
2021-05-02,2260,Simcoe Muskoka District Health Unit,72
2021-05-02,2261,Sudbury & District Health Unit,5
2021-05-02,2262,Thunder Bay District Health Unit,7
2021-05-02,2265,"Region of Waterloo, Public Health",66
2021-05-02,2266,Wellington-Dufferin-Guelph Public Health,30
2021-05-02,2268,Windsor-Essex County Health Unit,38
2021-05-02,2270,York Region Public Health Services,340
2021-05-02,3895,Toronto Public Health,1029
2021-05-02,4913,Southwestern Public Health,19
2021-05-02,5183,Huron Perth District Health Unit,1
2021-05-03,2226,Algoma Public Health Unit,3
2021-05-03,2227,Brant County Health Unit,19
2021-05-03,2230,Durham Region Health Department,189
2021-05-03,2233,Grey Bruce Health Unit,2
2021-05-03,2234,Haldimand-Norfolk Health Unit,12
2021-05-03,2235,"Haliburton, Kawartha, Pine Ridge District Health Unit",7
2021-05-03,2236,Halton Region Health Department,106
2021-05-03,2237,Hamilton Public Health Services,152
2021-05-03,2238,Hastings and Prince Edward Counties Health Unit,11
2021-05-03,2240,Chatham-Kent Health Unit,6
2021-05-03,2241,"Kingston, Frontenac and Lennox & Addington Public Health",29
2021-05-03,2242,Lambton Public Health,7
2021-05-03,2243,"Leeds, Grenville and Lanark District Health Unit",3
2021-05-03,2244,Middlesex-London Health Unit,69
2021-05-03,2246,Niagara Region Public Health Department,99
2021-05-03,2247,North Bay Parry Sound District Health Unit,6
2021-05-03,2249,Northwestern Health Unit,4
2021-05-03,2251,Ottawa Public Health,102
2021-05-03,2253,Peel Public Health,563
2021-05-03,2255,Peterborough Public Health,3
2021-05-03,2256,Porcupine Health Unit,4
2021-05-03,2257,Renfrew County and District Health Unit,6
2021-05-03,2258,Eastern Ontario Health Unit,13
2021-05-03,2260,Simcoe Muskoka District Health Unit,49
2021-05-03,2261,Sudbury & District Health Unit,5
2021-05-03,2262,Thunder Bay District Health Unit,5
2021-05-03,2263,Timiskaming Health Unit,5
2021-05-03,2265,"Region of Waterloo, Public Health",53
2021-05-03,2266,Wellington-Dufferin-Guelph Public Health,31
2021-05-03,2268,Windsor-Essex County Health Unit,44
2021-05-03,2270,York Region Public Health Services,267
2021-05-03,3895,Toronto Public Health,720
2021-05-03,4913,Southwestern Public Health,7
2021-05-03,5183,Huron Perth District Health Unit,1
2021-05-04,2227,Brant County Health Unit,29
2021-05-04,2230,Durham Region Health Department,170
2021-05-04,2233,Grey Bruce Health Unit,6
2021-05-04,2234,Haldimand-Norfolk Health Unit,25
2021-05-04,2235,"Haliburton, Kawartha, Pine Ridge District Health Unit",9
2021-05-04,2236,Halton Region Health Department,119
2021-05-04,2237,Hamilton Public Health Services,136
2021-05-04,2238,Hastings and Prince Edward Counties Health Unit,10
2021-05-04,2240,Chatham-Kent Health Unit,2
2021-05-04,2241,"Kingston, Frontenac and Lennox & Addington Public Health",21
2021-05-04,2242,Lambton Public Health,17
2021-05-04,2243,"Leeds, Grenville and Lanark District Health Unit",15
2021-05-04,2244,Middlesex-London Health Unit,115
2021-05-04,2246,Niagara Region Public Health Department,93
2021-05-04,2247,North Bay Parry Sound District Health Unit,5
2021-05-04,2249,Northwestern Health Unit,13
2021-05-04,2251,Ottawa Public Health,141
2021-05-04,2253,Peel Public Health,628
2021-05-04,2255,Peterborough Public Health,9
2021-05-04,2256,Porcupine Health Unit,15
2021-05-04,2257,Renfrew County and District Health Unit,9
2021-05-04,2258,Eastern Ontario Health Unit,11
2021-05-04,2260,Simcoe Muskoka District Health Unit,74
2021-05-04,2261,Sudbury & District Health Unit,17
2021-05-04,2262,Thunder Bay District Health Unit,5
2021-05-04,2263,Timiskaming Health Unit,1
2021-05-04,2265,"Region of Waterloo, Public Health",25
2021-05-04,2266,Wellington-Dufferin-Guelph Public Health,34
2021-05-04,2268,Windsor-Essex County Health Unit,41
2021-05-04,2270,York Region Public Health Services,228
2021-05-04,3895,Toronto Public Health,839
2021-05-04,4913,Southwestern Public Health,16
2021-05-04,5183,Huron Perth District Health Unit,17
2021-05-05,2226,Algoma Public Health Unit,2
2021-05-05,2227,Brant County Health Unit,27
2021-05-05,2230,Durham Region Health Department,150
2021-05-05,2233,Grey Bruce Health Unit,6
2021-05-05,2234,Haldimand-Norfolk Health Unit,18
2021-05-05,2235,"Haliburton, Kawartha, Pine Ridge District Health Unit",16
2021-05-05,2236,Halton Region Health Department,116
2021-05-05,2237,Hamilton Public Health Services,170
2021-05-05,2238,Hastings and Prince Edward Counties Health Unit,14
2021-05-05,2240,Chatham-Kent Health Unit,1
2021-05-05,2241,"Kingston, Frontenac and Lennox & Addington Public Health",19
2021-05-05,2242,Lambton Public Health,17
2021-05-05,2243,"Leeds, Grenville and Lanark District Health Unit",5
2021-05-05,2244,Middlesex-London Health Unit,115
2021-05-05,2246,Niagara Region Public Health Department,114
2021-05-05,2247,North Bay Parry Sound District Health Unit,4
2021-05-05,2249,Northwestern Health Unit,8
2021-05-05,2251,Ottawa Public Health,114
2021-05-05,2253,Peel Public Health,658
2021-05-05,2255,Peterborough Public Health,10
2021-05-05,2256,Porcupine Health Unit,14
2021-05-05,2257,Renfrew County and District Health Unit,6
2021-05-05,2258,Eastern Ontario Health Unit,23
2021-05-05,2260,Simcoe Muskoka District Health Unit,84
2021-05-05,2261,Sudbury & District Health Unit,7
2021-05-05,2262,Thunder Bay District Health Unit,4
2021-05-05,2263,Timiskaming Health Unit,2
2021-05-05,2265,"Region of Waterloo, Public Health",48
2021-05-05,2266,Wellington-Dufferin-Guelph Public Health,48
2021-05-05,2268,Windsor-Essex County Health Unit,46
2021-05-05,2270,York Region Public Health Services,353
2021-05-05,3895,Toronto Public Health,1029
2021-05-05,4913,Southwestern Public Health,19
2021-05-05,5183,Huron Perth District Health Unit,10
2021-05-06,2226,Algoma Public Health Unit,1
2021-05-06,2227,Brant County Health Unit,32
2021-05-06,2230,Durham Region Health Department,218
2021-05-06,2233,Grey Bruce Health Unit,6
2021-05-06,2234,Haldimand-Norfolk Health Unit,20
2021-05-06,2235,"Haliburton, Kawartha, Pine Ridge District Health Unit",18
2021-05-06,2236,Halton Region Health Department,132
2021-05-06,2237,Hamilton Public Health Services,151
2021-05-06,2238,Hastings and Prince Edward Counties Health Unit,9
2021-05-06,2240,Chatham-Kent Health Unit,6
2021-05-06,2241,"Kingston, Frontenac and Lennox & Addington Public Health",8
2021-05-06,2242,Lambton Public Health,6
2021-05-06,2243,"Leeds, Grenville and Lanark District Health Unit",5
2021-05-06,2244,Middlesex-London Health Unit,87
2021-05-06,2246,Niagara Region Public Health Department,96
2021-05-06,2247,North Bay Parry Sound District Health Unit,7
2021-05-06,2249,Northwestern Health Unit,13
2021-05-06,2251,Ottawa Public Health,122
2021-05-06,2253,Peel Public Health,1007
2021-05-06,2255,Peterborough Public Health,10
2021-05-06,2256,Porcupine Health Unit,15
2021-05-06,2257,Renfrew County and District Health Unit,4
2021-05-06,2258,Eastern Ontario Health Unit,16
2021-05-06,2260,Simcoe Muskoka District Health Unit,68
2021-05-06,2261,Sudbury & District Health Unit,6
2021-05-06,2262,Thunder Bay District Health Unit,6
2021-05-06,2265,"Region of Waterloo, Public Health",48
2021-05-06,2266,Wellington-Dufferin-Guelph Public Health,48
2021-05-06,2268,Windsor-Essex County Health Unit,33
2021-05-06,2270,York Region Public Health Services,283
2021-05-06,3895,Toronto Public Health,853
2021-05-06,4913,Southwestern Public Health,23
2021-05-06,5183,Huron Perth District Health Unit,7
2021-05-07,2226,Algoma Public Health Unit,3
2021-05-07,2227,Brant County Health Unit,14
2021-05-07,2230,Durham Region Health Department,123
2021-05-07,2233,Grey Bruce Health Unit,4
2021-05-07,2234,Haldimand-Norfolk Health Unit,23
2021-05-07,2235,"Haliburton, Kawartha, Pine Ridge District Health Unit",13
2021-05-07,2236,Halton Region Health Department,109
2021-05-07,2237,Hamilton Public Health Services,144
2021-05-07,2238,Hastings and Prince Edward Counties Health Unit,13
2021-05-07,2240,Chatham-Kent Health Unit,5
2021-05-07,2241,"Kingston, Frontenac and Lennox & Addington Public Health",15
2021-05-07,2242,Lambton Public Health,9
2021-05-07,2243,"Leeds, Grenville and Lanark District Health Unit",4
2021-05-07,2244,Middlesex-London Health Unit,84
2021-05-07,2246,Niagara Region Public Health Department,104
2021-05-07,2247,North Bay Parry Sound District Health Unit,5
